Country Name,Continent,Population,Populationgrowthrate,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,MedAge,UrbanPop,World Share,Normalised Population
Lebanon,Asia,"6,100,075",-3,Lebanon,"6,819,976",-44,"-30,268.00",667,"10,230.00","-30,012.00",2.1,30.00,7800,9,666.66
Nicaragua,North America,"6,085,213",1,Nicaragua,"6,638,075",121,"79,052.00",55,"120,340.00","-21,272.00",2.4,26.00,5700,8,55.16
Kyrgyzstan,Asia,"5,849,296",1,Kyrgyzstan,"6,542,426",169,"108,345.00",34,"191,800.00","-4,000.00",3,26.00,3600,8,34.11
El Salvador,South America,"6,187,271",0,El Salvador,"6,491,923",51,"32,652.00",313,"20,720.00","-40,539.00",2.1,28.00,7300,8,313.32
Turkmenistan,Asia,"5,411,012",1,Turkmenistan,"6,046,292",150,"89,111.00",13,"469,930.00","-5,000.00",2.8,27.00,5300,8,12.87
Singapore,Asia,"5,995,991",1.79,Singapore,"5,858,322.00",79,"46,005.00","8,358.00",700,"27,028.00",1.2,42.00,N.A.,8,"8,369.03"
Denmark,Europe,"5,809,502",0.59,Denmark,"5,795,780",35,"20,326.00",137,"42,430.00","15,200.00",1.8,42.00,8800,7,136.6
Finland,Europe,"5,537,364",0,Finland,"5,542,237",15,"8,564.00",18,"303,890.00","14,000.00",1.5,43.00,8600,7,18.24
Congo,Africa,"5,062,021",2,Congo,"5,540,555",256,"137,579.00",16,"341,500.00","-4,000.00",4.5,19.00,7000,7,16.22
Slovakia,Europe,"5,445,040",0,Slovakia,"5,460,109",5,"2,629.00",114,"48,088.00","1,485.00",1.5,41.00,5400,7,113.54
Norway,Europe,"5,372,191",1,Norway,"5,428,594",79,"42,384.00",15,"365,268.00","28,000.00",1.7,40.00,8300,7,14.86
Oman,Asia,"4,613,241",2,Oman,"5,128,058",265,"131,640.00",16,"309,500.00","87,400.00",2.9,31.00,8700,7,16.57
Costa Rica,North America,"4,987,142",1.13,Costa Rica,"5,102,158.00",92,"46,557.00",100,"51,060.00","4,200.00",1.8,33.00,8000,7,99.92
Liberia,Africa,"4,809,768",3,Liberia,"5,077,411",244,"120,307.00",53,"96,320.00","-5,000.00",4.4,19.00,5300,6,52.71
Ireland,Europe,"5,068,050",1.11,Ireland,"4,947,267",113,"55,291.00",72,"68,890.00","23,604.00",1.8,38.00,6300,6,71.81
New Zealand,Oceania,"4,545,627",0.77,New Zealand,"4,829,021.00",82,"39,170.00",18,"263,310.00","14,881.00",1.9,38.00,8700,6,18.34
Mauritania,Africa,"3,840,429",2.14,Mauritania,"4,669,775",274,"123,962.00",5,"1,030,700.00","5,000.00",4.6,20.00,5700,6,4.53
Panama,North America,"3,800,644",1.24,Panama,"4,326,296",161,"68,328.00",58,"74,340.00","11,200.00",2.5,30.00,6800,6,58.2
Kuwait,Asia,"2,916,467",1,Kuwait,"4,281,320",151,"63,488.00",240,"17,820.00","39,520.00",2.1,37.00,N.A.,5,240.25
Croatia,Europe,"4,270,480",-0.51,Croatia,"4,100,719.00",-61,"-25,037.00",73,"55,960.00","-8,001.00",1.4,44.00,5800,5,73.28
Moldova,Europe,"3,437,720",-1,Moldova,"4,032,294",-23,"-9,300.00",123,"32,850.00","-1,387.00",1.3,38.00,4300,5,122.75
Georgia,Asia,"4,003,000",0,Georgia,"3,987,805",-19,"-7,598.00",57,"69,490.00","-10,000.00",2.1,38.00,5800,5,57.39
Eritrea,Africa,"5,970,646",1,Eritrea,"3,554,797",141,"49,304.00",35,"101,000.00","-39,858.00",4.1,19.00,6300,5,35.2
Uruguay,South America,"3,369,299",0.27,Uruguay,"3,475,842",35,"11,996.00",20,"175,020.00","-3,000.00",2,36.00,9600,4,19.86
Mongolia,Asia,"3,103,428",1.11,Mongolia,"3,287,242.00",165,"53,123.00",2,"1,553,560.00",-852,2.9,28.00,6700,4,2.12
Armenia,Asia,"3,038,217",0,Armenia,"2,964,219",19,"5,512.00",104,"28,470.00","-4,998.00",1.8,35.00,6300,4,104.12
Jamaica,North America,"2,812,090",0,Jamaica,"2,963,429",44,"12,888.00",273,"10,830.00","-11,332.00",2,31.00,5500,4,273.63
Qatar,Asia,"2,363,569",1.95,Qatar,"2,889,284",173,"48,986.00",248,"11,610.00","40,000.00",1.9,32.00,9600,4,248.86
Albania,Europe,"3,057,220",0.3,Albania,"2,877,239",-11,"-3,120.00",105,"27,400.00","-14,000.00",1.6,36.00,6300,4,105.01
Lithuania,Europe,"2,793,284",-1.1,Lithuania,"2,715,340.00",-135,"-37,338.00",43,"62,674.00","-32,780.00",1.7,45.00,7100,3,43.32
Namibia,Africa,"2,533,224",2,Namibia,"2,548,663",186,"46,375.00",3,"823,290.00","-4,806.00",3.4,22.00,5500,3,3.1
Botswana,Africa,"2,249,104",1.52,Botswana,"2,359,585.00",208,"47,930.00",4,"566,730.00","3,000.00",2.9,24.00,7300,3,4.16
Gabon,Africa,"2,119,036",3,Gabon,"2,234,448",245,"53,155.00",9,"257,670.00","3,260.00",4,23.00,8700,3,8.67
Lesotho,Africa,"1,962,461",0,Lesotho,"2,145,194",80,"16,981.00",71,"30,360.00","-10,047.00",3.2,24.00,3100,3,70.66
Slovenia,Europe,"2,102,126",0.03,Slovenia,"2,078,989.00",1,284,103,"20,140.00","2,000.00",1.6,45.00,5500,3,103.23
Guinea-Bissau,Africa,"1,833,247",2,Guinea-Bissau,"1,975,718",245,"47,079.00",70,"28,120.00","-1,399.00",4.5,19.00,4500,3,70.26
Latvia,Europe,"1,923,559",-1.1,Latvia,"1,882,408",-108,"-20,545.00",30,"62,200.00","-14,837.00",1.7,44.00,6900,2,30.26
Bahrain,Asia,"1,442,659",2,Bahrain,"1,711,057",368,"60,403.00","2,239.00",760,"47,800.00",2,32.00,8900,2,"2,251.39"
Trinidad and Tobago,North America,"1,215,527",-0.23,Trinidad and Tobago,"1,400,283.00",32,"4,515.00",273,"5,130.00",-800,1.7,36.00,5200,2,272.96
Estonia,Europe,"1,244,288",-0.6,Estonia,"1,326,693.00",7,887,31,"42,390.00","3,911.00",1.6,42.00,6800,2,31.3
Timor-Leste,Asia,"1,321,929",2,Timor-Leste,"1,322,667",196,"25,326.00",89,"14,870.00","-5,385.00",4.1,21.00,3300,2,88.95
Mauritius,Africa,"1,364,283",0.57,Mauritius,"1,272,140",17,"2,100.00",626,"2,030.00",0,1.4,37.00,4100,2,626.67
Cyprus,Asia,"1,237,088",1.27,Cyprus,"1,208,886",73,"8,784.00",131,"9,240.00","5,000.00",1.3,37.00,6700,2,130.83
Djibouti,Africa,"884,017",2.13,Djibouti,"990,447.00",148,"14,440.00",43,"23,180.00",900,2.8,27.00,7900,1,42.73
Fiji,Oceania,"926,276",0.56,Fiji,"897,573",73,"6,492.00",49,"18,270.00","-6,202.00",2.8,28.00,5900,1,49.13
Comoros,Africa,"821,164",1.57,Comoros,"872,695.00",220,"18,715.00",467,"1,861.00","-2,000.00",4.2,20.00,2900,1,468.94
Guyana,South America,"740,685",0.48,Guyana,"787,215",48,"3,786.00",4,"196,850.00","-6,000.00",2.5,27.00,2700,1,4
Bhutan,Asia,"766,397",1.05,Bhutan,"773,069",112,"8,516.00",20,"38,117.00",320,2,28.00,4600,1,20.28
Solomon Islands,Oceania,"660,121",2,Solomon Islands,"689,671",255,"17,061.00",25,"27,990.00","-1,600.00",4.4,20.00,2300,1,24.64
Montenegro,Europe,"614,249",-0.34,Montenegro,"628,080.00",1,79,47,"13,450.00",-480,1.8,39.00,6800,1,46.7
Luxembourg,Europe,"605,764",2,Luxembourg,"627,704",166,"10,249.00",242,"2,590.00","9,741.00",1.5,40.00,8800,1,242.36
Western Sahara,Africa,"619,551",3,Western Sahara,"599,769",255,"14,876.00",2,"266,000.00","5,582.00",2.4,28.00,8700,1,2.25
Suriname,South America,"597,927",1,Suriname,"587,541",90,"5,260.00",4,"156,000.00","-1,000.00",2.4,29.00,6500,1,3.77
Cabo Verde,Africa,"568,373",1.32,Cabo Verde,"557,026",110,"6,052.00",138,"4,030.00","-1,342.00",2.3,28.00,6800,1,138.22
Maldives,Asia,"392,473",-0.06,Maldives,"542,151",181,"9,591.00","1,802.00",300,"11,370.00",1.9,30.00,3500,1,"1,807.17"
Malta,Europe,"449,043",0.99,Malta,"441,750",27,"1,171.00","1,380.00",320,900,1.5,43.00,9300,1,"1,380.47"
Brunei,Asia,"450,565",2,Brunei,"438,202",97,"4,194.00",83,"5,270.00",0,1.8,32.00,8000,1,83.15
Belize,North America,"385,854",1.8,Belize,"398,845.00",186,"7,275.00",17,"22,810.00","1,200.00",2.3,25.00,4600,1,17.49
Iceland,Europe,"343,518",1.08,Iceland,"341,628.00",65,"2,212.00",3,"100,250.00",380,1.8,37.00,9400,0,3.41
Vanuatu,Oceania,"288,037",1.81,Vanuatu,"308,337",242,"7,263.00",25,"12,190.00",120,3.8,21.00,2400,0,25.29
Barbados,North America,"293,131",0.26,Barbados,"287,437.00",12,350,668,430,-79,1.6,40.00,3100,0,668.46
Samoa,Oceania,"201,316",0.61,Samoa,"198,643.00",67,"1,317.00",70,"2,830.00","-2,803.00",3.9,22.00,1800,0,70.19
Saint Lucia,North America,"165,510",0.31,Saint Lucia,"183,774",46,837,301,610,0,1.4,34.00,1900,0,301.27
Kiribati,Africa,"109,367",1.12,Kiribati,"119,760.00",157,"1,843.00",147,810,-800,3.6,23.00,5700,0,147.85
Grenada,North America,"112,207",0.42,Grenada,"112,614.00",46,520,331,340,-200,2.1,32.00,3500,0,331.22
Tonga,Oceania,"106,398",-0.1,Tonga,"105,901.00",115,"1,201.00",147,720,-800,3.6,22.00,2400,0,147.08
Seychelles,Africa,"94,633",0.74,Seychelles,"98,453.00",62,608,214,460,-200,2.5,34.00,5600,0,214.03
Antigua and Barbuda,North America,"95,882",1.2,Antigua and Barbuda,"98,069",84,811,223,440,0,2,34.00,2600,0,222.88
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
